Peptides.01_F	Peptides.04_M	Peptides.05_F	Peptides.15_M	Peptides.187_F	Peptides.188_F	Peptides.205_M	Peptides.209_M	Peptides.49_F	Peptides.52_F	Peptides.54_M	Peptides.57_M	Peptides.58_F	Peptides.96_F	Intensity.S01_F	Intensity.S04_M	Intensity.S05_F	Intensity.S15_M	Intensity.S187_F	Intensity.S188_F	Intensity.S205_M	Intensity.S209_M	Intensity.S49_F	Intensity.S52_F	Intensity.S54_M	Intensity.S57_M	Intensity.S58_F	Intensity.S96_F	iBAQ	iBAQ.01_F	iBAQ.04_M	iBAQ.05_F	iBAQ.15_M	iBAQ.187_F	iBAQ.188_F	iBAQ.205_M	iBAQ.209_M	iBAQ.49_F	iBAQ.52_F	iBAQ.54_M	iBAQ.57_M	iBAQ.58_F	iBAQ.96_F	LFQ.intensity.S01_F	LFQ.intensity.S04_M	LFQ.intensity.S05_F	LFQ.intensity.S15_M	LFQ.intensity.S187_F	LFQ.intensity.S188_F	LFQ.intensity.S205_M	LFQ.intensity.S209_M	LFQ.intensity.S49_F	LFQ.intensity.S52_F	LFQ.intensity.S54_M	LFQ.intensity.S57_M	LFQ.intensity.S58_F	LFQ.intensity.S96_F	MS.MS.count.01_F	MS.MS.count.04_M	MS.MS.count.05_F	MS.MS.count.15_M	MS.MS.count.187_F	MS.MS.count.188_F	MS.MS.count.205_M	MS.MS.count.209_M	MS.MS.count.49_F	MS.MS.count.52_F	MS.MS.count.54_M	MS.MS.count.57_M	MS.MS.count.58_F	MS.MS.count.96_F	Only.identified.by.site	Reverse	Potential.contaminant	Peptides	Sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Intensity	MS.MS.count	Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names
0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	99900000	0	6.2e+07	0	0	0	0	0	0	0	0	0	0	32400000	0	2e+07	0	12400000	0	0	0	0	0	0	0	0	0	0	0	32500000	0	52400000	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0		NA	NA	2	23.9	12.674	0	4.586	161840000	3	A0A0C4DH38;A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1		IGHV5-51
1	1	1	1	0	0	1	1	1	1	1	1	0	1	6.61e+08	8.87e+08	9.4e+08	1.42e+09	0	0	8.2e+08	61800000	75300000	1.9e+08	4.41e+08	38500000	0	4.52e+08	9.98e+08	1.1e+08	1.48e+08	1.57e+08	2.37e+08	0	0	1.37e+08	10300000	12600000	31700000	73500000	6412800	0	75300000	1.7e+08	3.81e+08	4.96e+08	1.02e+09	0	0	3.52e+08	63400000	99600000	9e+07	1.99e+08	47500000	0	3.65e+08	4	4	3	5	0	0	4	1	1	1	3	1	0	3		NA	NA	1	7.7	13.016	0.0065407	1.8669	5986500000	30	P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824	P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	IGHV4-61
1	2	2	2	1	0	1	1	1	1	2	1	2	2	3.7e+08	6.2e+08	9.61e+08	7.78e+08	55300000	0	5.02e+08	1.01e+08	1.59e+08	2.82e+08	2.62e+08	97400000	2.94e+08	3.23e+08	1.6e+09	1.23e+08	2.07e+08	3.2e+08	2.59e+08	18400000	0	1.67e+08	33700000	52900000	94100000	87200000	32500000	9.8e+07	1.08e+08	2.16e+08	4.96e+08	7.37e+08	6.9e+08	1.2e+08	0	3e+08	2.07e+08	1.85e+08	1.76e+08	1.98e+08	1.82e+08	2.65e+08	5.23e+08	1	2	2	2	2	0	2	1	2	2	2	1	2	2		NA	NA	2	13.4	13.148	0.0029918	2.1316	4804100000	23	A0A0C4DH55;P01624	A0A0C4DH55;P01624	Ig kappa chain V-III region POM	IGKV3D-7
0	1	1	2	0	1	1	0	0	0	0	1	0	0	0	71600000	1.05e+08	4.82e+08	0	2.5e+07	1.06e+08	0	0	0	0	0	0	0	1.97e+08	0	17900000	26300000	1.2e+08	0	6256200	26600000	0	0	0	0	0	0	0	0	57300000	80800000	4.27e+08	0	1.19e+08	63400000	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0		NA	NA	2	16.7	13.079	0	4.6525	789910000	6	A0A0C4DH68	A0A0C4DH68		IGKV2-24
1	1	1	1	0	0	1	0	0	0	1	0	1	0	36500000	87100000	48900000	4.8e+07	0	0	50900000	0	0	0	37400000	0	44100000	0	88200000	9135600	21800000	12200000	1.2e+07	0	0	12700000	0	0	0	9362000	0	1.1e+07	0	21300000	69600000	37500000	42600000	0	0	30400000	0	0	0	28300000	0	39700000	0	1	2	1	1	0	0	1	0	0	0	1	0	1	0		NA	NA	1	13.7	12.645	0	12.705	352960000	8	A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597	A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597	Ig kappa chain V-I region Daudi;Ig kappa chain V-I region Wes;Ig kappa chain V-I region DEE	IGKV1-12;IGKV1-6
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	90600000	69800000	0	0	0	0	0	0	0	0	0	0	26700000	0	0	15100000	11600000	0	0	0	0	0	0	0	0	0	0	0	0	33100000	40600000	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		NA	NA	1	9.4	12.822	0.0033495	2.0716	160410000	2	A0A0J9YX35	A0A0J9YX35		
0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	1.53e+08	0	0	0	0	17300000	0	0	42300000	0	0	3797200	0	0	0	2732900	0	0	0	0	308560	0	0	755750	0	0	0	0	0	49500000	0	0	0	0	27500000	0	0	82900000	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0		NA	NA	4	3.6	117.97	0.00043346	4.1293	212640000	7	A0AVT1	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6
2	2	3	2	2	2	3	2	2	2	2	2	2	2	0	0	8.9e+07	0	0	0	1.25e+08	0	0	0	0	0	0	0	30600000	0	0	12700000	0	0	0	17900000	0	0	0	0	0	0	0	0	0	68300000	0	0	0	74500000	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	+	NA	NA	3	41.5	11.253	1	-2	213980000	2	A0M8Q6;P0CF74	A0M8Q6;P0CF74	Ig lambda-7 chain C region;Ig lambda-6 chain C region	IGLC7;IGLC6
0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	26400000	66800000	0	0	0	0	0	0	0	0	2520200	0	0	0	0	714490	1805700	0	0	0	0	0	0	0	0	0	0	0	0	41100000	1.14e+08	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0		NA	NA	3	4.8	71.639	0.00080225	2.9722	93246000	3	A0MZ66	A0MZ66	Shootin-1	KIAA1598
0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	27900000	0	0	1.11e+08	0	0	0	0	0	0	0	5537500	0	0	0	1114700	0	0	4422700	0	0	0	0	0	0	0	0	0	0	31600000	0	0	55500000	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0		NA	NA	3	8.7	67.867	0	7.1264	138440000	4	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL
6	3	17	2	2	4	10	3	5	7	1	4	3	3	1.23e+08	20100000	2.7e+09	78600000	73500000	1.51e+08	9.41e+08	1.71e+08	2.05e+08	4.54e+08	5.4e+07	85200000	99400000	1.03e+08	1.25e+08	2937300	477460	64200000	1871400	1750300	3585900	22400000	4068000	4869200	10800000	1284700	2027500	2366800	2460700	9.6e+07	34800000	8.34e+08	45100000	1.33e+08	3.33e+08	4.07e+08	2.05e+08	2.14e+08	1.77e+08	42100000	1.53e+08	67700000	1.44e+08	2	1	18	2	2	4	11	3	6	6	1	4	2	3		NA	NA	18	23.2	92.644	0	58.699	5255100000	65	A2RTX5	A2RTX5	Probable threonine--tRNA ligase 2, cytoplasmic	TARSL2
5	2	5	0	0	0	1	1	2	3	5	0	0	1	7.05e+08	1.04e+08	5.1e+08	0	0	0	47500000	49300000	44700000	2.57e+08	5.6e+08	0	0	39700000	1.22e+08	37100000	5486800	26800000	0	0	0	2500100	2596400	2353700	13500000	29500000	0	0	2087100	3.64e+08	88900000	2.74e+08	0	0	0	33700000	52600000	57500000	87500000	2.94e+08	0	0	4.4e+07	6	2	6	0	0	0	1	1	2	3	6	0	0	1		NA	NA	7	26	36.547	0	10.224	2317100000	28	A2RUC4	A2RUC4	tRNA wybutosine-synthesizing protein 5	TYW5
0	2	0	1	0	0	1	2	1	1	0	0	1	0	0	1.74e+09	0	0	0	0	1.55e+09	1.06e+09	0	2.52e+09	0	0	8.39e+08	0	92700000	0	20900000	0	0	0	0	18700000	12700000	0	30300000	0	0	10100000	0	0	1.49e+09	0	0	0	0	8.05e+08	1.14e+09	0	1.07e+09	0	0	7.34e+08	0	0	2	0	0	0	0	1	1	0	2	0	0	1	0		NA	NA	3	2.2	165.12	0.0058373	1.9027	7.696e+09	7	A2RUR9;Q3MJ40	A2RUR9	Coiled-coil domain-containing protein 144A	CCDC144A
12	10	7	5	0	1	2	5	2	3	9	2	3	1	5.99e+09	1.44e+09	1.11e+09	4.83e+08	0	1.11e+08	4.67e+08	3.21e+08	2.74e+08	3.71e+08	1.48e+09	8676400	5.51e+08	2.23e+08	4.58e+08	2.14e+08	51400000	39700000	17200000	0	3969800	16700000	11500000	9771000	13300000	52900000	309870	19700000	7959700	2.38e+09	1.06e+09	7.52e+08	2.36e+08	0	1.61e+08	2.29e+08	3.42e+08	2.46e+08	1.48e+08	7.56e+08	7143400	3.37e+08	2.45e+08	23	12	7	8	0	1	2	5	3	3	11	2	4	2		NA	NA	12	30.8	49.872	0	53.569	1.2834e+10	83	A4D126	A4D126	Isoprenoid synthase domain-containing protein	ISPD
6	6	6	3	2	1	4	2	2	6	4	2	3	2	2.48e+09	1.71e+09	1.46e+09	2.3e+08	1.11e+08	23600000	4.03e+08	1.87e+08	1.28e+08	1.16e+09	7.52e+08	70300000	1.81e+08	1.81e+08	9.07e+08	2.48e+08	1.71e+08	1.46e+08	2.3e+07	11100000	2357200	40300000	18700000	12800000	1.16e+08	75200000	7031900	18100000	18100000	7.3e+08	7.45e+08	6.5e+08	3.23e+08	3.5e+08	2.36e+08	1.73e+08	4.3e+08	3.28e+08	4.79e+08	5.02e+08	2.04e+08	3.55e+08	5.41e+08	12	13	12	5	2	2	5	2	3	9	4	2	3	2		NA	NA	6	32.7	27.202	0	25.65	9074700000	76	A4D2B0	A4D2B0	Metallo-beta-lactamase domain-containing protein 1	MBLAC1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	47100000	0	0	0	0	0	0	0	0	239090	0	0	0	0	0	239090	0	0	0	0	0	0	0	0	0	0	0	0	0	71500000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	+	NA	NA	1	0.7	382.3	1	-2	47100000	1	A4UGR9	A4UGR9	Xin actin-binding repeat-containing protein 2	XIRP2
1	2	2	2	1	0	6	3	4	4	1	2	1	0	1e+08	60200000	71100000	67600000	15800000	0	2.73e+08	35400000	68400000	1.54e+08	62700000	24900000	45900000	0	8025100	820310	493230	582700	553690	129120	0	2237500	290160	560760	1263200	514230	204150	376020	0	0	0	0	54400000	30300000	0	1.08e+08	26900000	69400000	63400000	0	42200000	38500000	0	1	1	1	2	1	0	7	3	4	6	1	2	1	0		NA	NA	14	7.2	266.94	0	29.408	979060000	30	A5YKK6	A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1
0	12	0	6	1	14	12	7	19	21	6	7	0	8	0	1.15e+09	0	2.18e+08	0	2.08e+09	1.46e+09	3.27e+08	3.48e+09	1.11e+10	2.3e+08	2.67e+08	0	3.77e+08	5.92e+08	0	32900000	0	6234100	0	59300000	41700000	9332500	99500000	3.18e+08	6558800	7632300	0	10800000	0	1.16e+09	0	1.41e+08	0	3.78e+09	6.91e+08	5.66e+08	2.52e+09	3.97e+09	1.89e+08	7.09e+08	0	7.18e+08	0	19	0	4	0	21	18	5	30	51	6	6	0	6		NA	NA	23	24.8	88.483	0	158.13	2.0716e+10	166	A5YM72	A5YM72	Carnosine synthase 1	CARNS1
0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1.15e+09	0	0	0	0	0	0	0	0	0	0	14600000	0	0	0	14600000	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	+	NA	NA	2	1.2	164.81	1	-2	1150100000	1	A6NC98	A6NC98	Coiled-coil domain-containing protein 88B	CCDC88B
0	1	2	0	1	1	1	1	2	2	1	1	0	0	0	3.54e+08	5.98e+08	0	2.21e+08	5.71e+08	78300000	4.57e+08	6.54e+08	3.13e+08	3.79e+08	4.41e+08	0	0	1.02e+09	0	88500000	1.5e+08	0	55200000	1.43e+08	19600000	1.14e+08	1.63e+08	78300000	94700000	1.1e+08	0	0	0	2.81e+08	3.17e+08	0	4.74e+08	2.53e+09	3.91e+08	9.26e+08	4.95e+08	4.57e+08	2.84e+08	8.17e+08	0	0	0	1	3	0	1	2	1	1	2	2	1	1	0	0		NA	NA	3	22.4	14.688	0.00082338	3.3527	4066900000	15	Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2
12	12	19	14	13	3	11	14	20	14	15	15	17	2	0	0	2.69e+08	0	0	0	0	0	1.92e+08	25600000	49600000	0	0	0	29800000	0	0	14900000	0	0	0	0	0	10700000	1420300	2752800	0	0	0	0	0	1.12e+08	0	0	0	0	0	91500000	10900000	19500000	0	0	0	0	0	5	0	0	0	0	0	2	1	2	0	0	0		NA	NA	22	58	29.117	0	30.831	535920000	10	A6NCN2	A6NCN2	Putative keratin-87 protein	KRT87P
1	2	2	0	0	0	0	0	0	1	2	1	0	0	36800000	93300000	1.44e+08	0	0	0	0	0	0	36900000	96300000	1.6e+07	0	0	23500000	2042600	5183900	8000400	0	0	0	0	0	0	2050200	5349900	887110	0	0	47600000	61700000	48700000	0	0	0	0	0	0	38100000	31300000	22900000	0	0	1	2	2	0	0	0	0	0	0	1	2	0	0	0		NA	NA	2	8.1	34.006	0	4.7846	423250000	8	A6NDG6	A6NDG6	Phosphoglycolate phosphatase	PGP
2	2	0	2	2	1	2	1	2	2	2	2	1	2	1.16e+08	85900000	0	5.74e+08	1.3e+08	28400000	5.97e+08	3.4e+07	1.13e+08	7.57e+08	6.09e+08	67700000	1.47e+08	2.51e+08	2.07e+08	6839100	5052400	0	33800000	7671800	1670800	35100000	2002900	6630800	44500000	35800000	3980200	8619900	14800000	58100000	63600000	0	2.86e+08	2.39e+08	1.23e+08	2.77e+08	7.8e+07	1.37e+08	2.84e+08	2.91e+08	9.3e+07	1.93e+08	1.74e+08	2	2	0	5	2	1	4	2	3	4	5	2	1	3		NA	NA	2	14.6	33.62	0	17.763	3510600000	36	A6NDU8	A6NDU8	UPF0600 protein C5orf51	C5orf51
2	7	4	0	0	0	0	1	1	2	4	2	2	1	1.23e+08	6.83e+08	95300000	0	0	0	0	51400000	50100000	50400000	99700000	6.7e+07	77400000	36100000	70200000	6448600	3.6e+07	5017700	0	0	0	0	2703200	2635200	2653800	5245200	3525900	4071500	1899600	73800000	3.76e+08	97100000	0	0	0	0	59300000	53900000	27800000	58400000	52800000	42800000	40500000	1	9	5	0	0	0	0	1	1	1	4	2	2	1		NA	NA	8	37.8	40.078	0	16.117	1332900000	27	A6NED2	A6NED2	RCC1 domain-containing protein 1	RCCD1
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73400000	0	0	0	0	0	0	0	7339100	0	0	0	0	0	0	7339100	0	0	0	0	0	0	0	0	0	0	0	0	0	36500000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	+	NA	NA	1	5.9	18.657	1	-2	73391000	1	A6NEY8	A6NEY8	Putative prolyl-tRNA synthetase associated domain-containing protein 1	PRORSD1P
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	NA	NA	1	2.2	70.628	1	-2	0	0	A6NF34	A6NF34	Anthrax toxin receptor-like	ANTXRL
3	4	4	4	4	4	4	4	4	4	4	5	3	4	0	2.23e+08	1.01e+09	4.27e+08	1.6e+09	1.13e+08	3.65e+08	1.41e+09	3.24e+09	1.94e+09	1.22e+08	1.77e+08	0	6.34e+08	4.69e+08	0	9271700	42300000	17800000	66600000	4696500	15200000	58800000	1.35e+08	80700000	5067900	7379700	0	26400000	0	1.21e+08	2.01e+08	2.49e+08	1.58e+09	2.95e+08	2.19e+08	8.09e+08	2.26e+09	4.68e+08	41600000	1.96e+08	0	4.18e+08	0	3	9	3	7	2	3	9	11	7	2	2	0	5		NA	NA	5	8.5	49.908	0	12.941	1.1255e+10	63	A6NHL2	A6NHL2	Tubulin alpha chain-like 3	TUBAL3
8	10	12	9	4	3	8	8	8	11	10	8	5	7	2.09e+09	3.41e+09	4.44e+09	1.77e+09	54500000	90700000	1.83e+09	1.17e+09	1.32e+09	5.06e+09	3.5e+09	6.05e+08	6.63e+08	8.08e+08	2.06e+09	1.61e+08	2.62e+08	3.41e+08	1.36e+08	4195100	6979400	1.41e+08	89700000	1.01e+08	3.89e+08	2.69e+08	46500000	5.1e+07	62200000	1.18e+09	1.91e+09	1.98e+09	1.2e+09	1.9e+08	2.64e+08	1.5e+09	1.42e+09	1.05e+09	2.09e+09	2.09e+09	7.14e+08	5.7e+08	1.22e+09	18	23	31	15	2	3	19	11	14	29	25	14	6	9		NA	NA	12	47.1	36.056	0	75.543	2.6792e+10	219	A6NHX0	A6NHX0	GATS-like protein 2	GATSL2
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	92900000	0	0	0	0	0	1365900	0	0	0	0	0	0	0	0	1365900	0	0	0	0	0	0	0	0	0	0	0	0	0	70400000	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0		NA	NA	2	1.5	161.1	0.00079713	2.8802	92883000	2	A8K2U0	A8K2U0	Alpha-2-macroglobulin-like protein 1	A2ML1
0	1	1	0	0	0	1	0	1	1	1	0	2	0	0	66600000	3.07e+09	0	0	0	2.34e+08	0	1.17e+09	18600000	34700000	0	3.74e+08	0	1.65e+09	0	22200000	1.02e+09	0	0	0	7.8e+07	0	3.89e+08	6184700	11600000	0	1.25e+08	0	0	3.4e+08	9.21e+08	0	0	0	1.04e+08	0	6.57e+08	1.45e+08	3.29e+08	0	4.1e+08	0	0	2	2	0	0	0	1	0	1	1	1	0	2	0		NA	NA	2	26.3	8.496	0.0075	1.7575	4963900000	10	P62308;A8MWD9	P62308;A8MWD9	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15
