Entry.name	Entry (UniProtAC)		MS.MS.count.AD1.1.1	MS.MS.count.AD1.2.1	MS.MS.count.AD1.2.2	MS.MS.count.AD1.1.2	MS.MS.count.AD2.1.1	MS.MS.count.AD2.2.1	MS.MS.count.AD2.2.2	MS.MS.count.AD2.1.2	MS.MS.count.AD3.1.1	MS.MS.count.AD3.2.1	MS.MS.count.AD3.2.2	MS.MS.count.AD3.1.2	MS.MS.count.AD4.1.1	MS.MS.count.AD4.2.1	MS.MS.count.AD4.2.2	MS.MS.count.AD4.1.2	MS.MS.count.AD5.1.1	MS.MS.count.AD5.1.2	MS.MS.count.ND1.1.1	MS.MS.count.ND1.1.2	MS.MS.count.ND2.1.1	MS.MS.count.ND2.2.1	MS.MS.count.ND2.2.2	MS.MS.count.ND2.1.2	MS.MS.count.ND3.1.1	MS.MS.count.ND3.2.1	MS.MS.count.ND3.2.2	MS.MS.count.ND3.1.2	Intensity.AD1.1.1	Intensity.AD1.2.1	Intensity.AD1.2.2	Intensity.AD1.1.2	Intensity.AD2.1.1	Intensity.AD2.2.1	Intensity.AD2.2.2	Intensity.AD2.1.2	Intensity.AD3.1.1	Intensity.AD3.2.1	Intensity.AD3.2.2	Intensity.AD3.1.2	Intensity.AD4.1.1	Intensity.AD4.2.1	Intensity.AD4.2.2	Intensity.AD4.1.2	Intensity.AD5.1.1	Intensity.AD5.1.2	Intensity.ND1.1.1	Intensity.ND1.1.2	Intensity.ND2.1.1	Intensity.ND2.2.1	Intensity.ND2.2.2	Intensity.ND2.1.2	Intensity.ND3.1.1	Intensity.ND3.2.1	Intensity.ND3.2.2	Intensity.ND3.1.2		Raw.p	Raw.FC	SC.p	SC.FC			Protein.names	Gene.names	Gene.names...primary..	Function..CC.	Length	Gene.ontology..biological.process.	Gene.ontology..cellular.component.	Gene.ontology..molecular.function.	Domain..CC.	Domain..FT.	Protein.families	Sequence.similarities	EC.number	Organism	Repeat	Region	Zinc.finger	Motif	Coiled.coil	Compositional.bias	Cross.reference..MGI.	Cross.reference..GeneCards.	Status	
RS28_HUMAN	P62857		0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	6	6	1	1	2	0	0	0	5	2	2	5		7.84								7.79							8.82	8.85	7.61	7.64	6.58				7.91	8.21	7.94	7.78		0.040982828	0.884781452	0.23792256	0.49382716			40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	RPS28		69	"maturation of SSU-rRNA [GO:0030490]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eS28 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS28 family. {ECO:0000305}.		Homo sapiens (Human)								RPS28;	reviewed	
RS27_HUMAN	P42677		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	8	1	1	0	0	0	0	7	3	5	7									7.01								9.01	9.07	7.41	7.47					8.20	8.18	8.24	8.12		0.045796583	0.873617218	0.257026575	0.439814815			40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	RPS27 MPS1	RPS27	"FUNCTION: Component of the small ribosomal subunit (PubMed:8706699). Required for proper rRNA processing and maturation of 18S rRNAs (PubMed:25424902). {ECO:0000269|PubMed:25424902, ECO:0000305|PubMed:8706699}."	84	"cell proliferation [GO:0008283]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]; sister chromatid cohesion [GO:0007062]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]	DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]			Eukaryotic ribosomal protein eS27 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS27 family. {ECO:0000305}.		Homo sapiens (Human)			ZN_FING 37 59 C4-type. {ECO:0000255}.					RPS27;	reviewed	
RS21_HUMAN	P63220		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	2	2	0	0	0	0	2	3	4	2		7.00	7.77								6.96						8.82	8.62	7.47	7.49	6.65				7.39	8.21	7.74	7.40		0.050407816	0.901355974	0.23090487	0.444444444			40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	RPS21	RPS21		83	"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]	protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eS21 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS21 family. {ECO:0000305}.		Homo sapiens (Human)								RPS21;	reviewed	
RS30_HUMAN	P62861		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	7	1	6	7												7.34					7.84	7.92			6.74				8.07	7.95	7.85	7.86		0.075632568	0.896935849	0.116214024	0.158730159			40S ribosomal protein S30 (Small ribosomal subunit protein eS30)	FAU	FAU		59	"antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response in mucosa [GO:0002227]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eS30 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS30 family. {ECO:0000305}.		Homo sapiens (Human)								FAU;	reviewed	
RS3_HUMAN	P23396		0	15	16	0	0	0	0	0	10	8	11	8	0	1	0	0	49	50	17	20	2	0	0	1	52	36	47	49		9.18	9.23						8.92	8.93	8.89	8.88		7.68			10.08	10.12	8.94	8.91	7.05		6.95	6.84	9.38	9.63	9.44	9.28		0.089619323	0.876811455	0.116751722	0.416666667			40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	RPS3	"FUNCTION: Involved in translation as a component of the 40S small ribosomal subunit (PubMed:8706699). Has endonuclease activity and plays a role in repair of damaged DNA (PubMed:7775413). Cleaves phosphodiester bonds of DNAs containing altered bases with broad specificity and cleaves supercoiled DNA more efficiently than relaxed DNA (PubMed:15707971). Displays high binding affinity for 7,8-dihydro-8-oxoguanine (8-oxoG), a common DNA lesion caused by reactive oxygen species (ROS) (PubMed:14706345). Has also been shown to bind with similar affinity to intact and damaged DNA (PubMed:18610840). Stimulates the N-glycosylase activity of the base excision protein OGG1 (PubMed:15518571). Enhances the uracil excision activity of UNG1 (PubMed:18973764). Also stimulates the cleavage of the phosphodiester backbone by APEX1 (PubMed:18973764). When located in the mitochondrion, reduces cellular ROS levels and mitochondrial DNA damage (PubMed:23911537). Has also been shown to negatively regulate DNA repair in cells exposed to hydrogen peroxide (PubMed:17049931). Plays a role in regulating transcription as part of the NF-kappa-B p65-p50 complex where it binds to the RELA/p65 subunit, enhances binding of the complex to DNA and promotes transcription of target genes (PubMed:18045535). Represses its own translation by binding to its cognate mRNA (PubMed:20217897). Binds to and protects TP53/p53 from MDM2-mediated ubiquitination (PubMed:19656744). Involved in spindle formation and chromosome movement during mitosis by regulating microtubule polymerization (PubMed:23131551). Involved in induction of apoptosis through its role in activation of CASP8 (PubMed:14988002). Induces neuronal apoptosis by interacting with the E2F1 transcription factor and acting synergistically with it to up-regulate pro-apoptotic proteins BCL2L11/BIM and HRK/Dp5 (PubMed:20605787). Interacts with TRADD following exposure to UV radiation and induces apoptosis by caspase-dependent JNK activation (PubMed:22510408). {ECO:0000269|PubMed:14706345, ECO:0000269|PubMed:14988002, ECO:0000269|PubMed:15518571, ECO:0000269|PubMed:15707971, ECO:0000269|PubMed:17049931, ECO:0000269|PubMed:18045535, ECO:0000269|PubMed:18610840, ECO:0000269|PubMed:18973764, ECO:0000269|PubMed:19656744, ECO:0000269|PubMed:20217897, ECO:0000269|PubMed:20605787, ECO:0000269|PubMed:22510408, ECO:0000269|PubMed:23131551, ECO:0000269|PubMed:23911537, ECO:0000269|PubMed:7775413, ECO:0000269|PubMed:8706699}."	243	"apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; cytoplasmic translation [GO:0002181]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to oxidative stress [GO:0006979]; response to TNF agonist [GO:0061481]; rRNA processing [GO:0006364]; spindle assembly [GO:0051225]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; transcription, DNA-templated [GO:0006351]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]	class I DNA-(apurinic or apyrimidinic site) lyase activity [GO:0140078]; class III/IV DNA-(apurinic or apyrimidinic site) lyase activity [GO:0140080]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; iron-sulfur cluster binding [GO:0051536]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein complex binding [GO:0032403]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; transcription factor binding [GO:0008134]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]		DOMAIN 21 92 KH type-2. {ECO:0000255|PROSITE-ProRule:PRU00118}.	Universal ribosomal protein uS3 family	SIMILARITY: Belongs to the universal ribosomal protein uS3 family. {ECO:0000305}.	4.2.99.18	Homo sapiens (Human)								RPS3;	reviewed	
RS8_HUMAN	P62241		0	5	9	0	0	0	0	0	6	3	2	8	0	0	0	0	25	21	7	10	1	0	0	1	40	18	16	31		8.68	8.94						8.81	8.31	8.11	8.89					9.72	9.83	8.53	8.62	7.06			6.75	9.25	9.29	9.12	9.00		0.11244672	0.882432511	0.117688261	0.353942652			40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	RPS8		208	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eS8 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS8 family. {ECO:0000305}.		Homo sapiens (Human)								RPS8;	reviewed	
RS4X_HUMAN	P62701		0	9	11	0	0	0	0	0	5	8	6	10	0	0	0	0	36	39	16	17	1	0	0	1	43	38	27	38		8.80	8.98						8.63	8.63	8.55	8.85					9.96	10.00	8.82	8.72	6.95			6.90	9.27	9.47	9.29	9.17		0.113233863	0.878453102	0.091663908	0.380601596			"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)"	RPS4X CCG2 RPS4 SCAR	RPS4X		263	"multicellular organism development [GO:0007275]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell proliferation [GO:0008284]; positive regulation of translation [GO:0045727]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; polysome [GO:0005844]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]		DOMAIN 42 104 S4 RNA-binding.	Eukaryotic ribosomal protein eS4 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS4 family. {ECO:0000305}.		Homo sapiens (Human)								RPS4X;	reviewed	
RSSA_HUMAN	P08865		2	13	14	0	0	0	0	0	11	11	8	7	1	1	0	1	45	44	10	10	5	0	0	4	31	40	37	30	7.56	8.92	9.12						8.97	8.77	8.76	8.92	7.85	7.35		7.48	9.89	9.95	8.61	8.65	7.99	6.65		7.63	9.17	9.33	9.14	9.02		0.136143221	0.907683045	0.205399816	0.525615436			40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	RPSA	"FUNCTION: Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA-precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis. Acts as a PPP1R16B-dependent substrate of PPP1CA. {ECO:0000255|HAMAP-Rule:MF_03016, ECO:0000269|PubMed:16263087, ECO:0000269|PubMed:6300843}.; FUNCTION: (Microbial infection) Acts as a receptor for the adeno-associated viruses 2,3,8 and 9, dengue virus, Sindbis virus and Venezuelan equine encephalitis virus (PubMed:1385835, PubMed:15507651, PubMed:16973587). Also acts as a receptor for pathogenic prion protein and bacteria (PubMed:9396609, PubMed:11689427, PubMed:15516338). {ECO:0000269|PubMed:11689427, ECO:0000269|PubMed:1385835, ECO:0000269|PubMed:15507651, ECO:0000269|PubMed:15516338, ECO:0000269|PubMed:16973587, ECO:0000269|PubMed:9396609}."	295	"cell adhesion [GO:0007155]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	laminin receptor activity [GO:0005055]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; virus receptor activity [GO:0001618]			Universal ribosomal protein uS2 family	SIMILARITY: Belongs to the universal ribosomal protein uS2 family. {ECO:0000255|HAMAP-Rule:MF_03016}.		Homo sapiens (Human)	REPEAT 230 232 [DE]-W-[ST] 1.; REPEAT 247 249 [DE]-W-[ST] 2.; REPEAT 266 268 [DE]-W-[ST] 3.; REPEAT 275 277 [DE]-W-[ST] 4.; REPEAT 293 295 [DE]-W-[ST] 5.	REGION 54 113 Interaction with PPP1R16B. {ECO:0000269|PubMed:16263087}.; REGION 161 180 Laminin-binding.; REGION 205 229 Laminin-binding.; REGION 242 295 Laminin-binding.						RPSA;	reviewed	
RS11_HUMAN	P62280		0	5	5	0	0	0	0	0	3	0	1	1	0	0	0	0	14	16	6	8	0	0	0	0	18	13	9	20		8.51	8.69						8.14		7.60	7.76					9.53	9.54	8.37	8.22					8.84	9.14	8.82	8.88		0.15679203	0.889473083	0.089800997	0.337837838			40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	RPS11		158	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; osteoblast differentiation [GO:0001649]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]			Universal ribosomal protein uS17 family	SIMILARITY: Belongs to the universal ribosomal protein uS17 family. {ECO:0000305}.		Homo sapiens (Human)								RPS11;	reviewed	
RS24_HUMAN	P62847		0	4	4	0	0	0	0	0	2	2	1	2	0	0	0	0	12	16	3	3	0	0	0	1	6	7	10	5		8.06	8.07						7.78	7.77	7.42	7.82					8.89	8.97	7.53	7.44				7.08	8.16	8.42	8.32	7.96		0.173605544	0.920436168	0.471318057	0.682539683			40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24	RPS24	FUNCTION: Required for processing of pre-rRNA and maturation of 40S ribosomal subunits. {ECO:0000269|PubMed:18230666}.	133	"erythrocyte homeostasis [GO:0034101]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation initiation factor binding [GO:0031369]			Eukaryotic ribosomal protein eS24 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eS24 family. {ECO:0000305}.		Homo sapiens (Human)								RPS24;	reviewed	
RS16_HUMAN	P62249		0	4	7	0	0	1	0	0	1	2	3	3	0	0	0	0	15	21	8	9	0	0	0	1	20	23	25	14		8.63	8.81			6.81			7.78	8.44	8.25	8.11					9.65	9.74	8.47	8.50				6.99	8.91	9.19	9.02	8.69		0.174595644	0.899807174	0.069388919	0.316666667			40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16	RPS16		146	"cellular response to leukemia inhibitory factor [GO:1990830]; liver regeneration [GO:0097421]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Universal ribosomal protein uS9 family	SIMILARITY: Belongs to the universal ribosomal protein uS9 family. {ECO:0000305}.		Homo sapiens (Human)								RPS16;	reviewed	
RS23_HUMAN	P62266		0	3	1	0	0	0	0	0	2	1	0	3	0	0	0	0	11	10	3	3	0	0	0	0	6	4	12	7		8.21	8.22						7.99	7.83		8.24					9.34	9.38	7.90	7.86					8.46	8.75	8.64	8.60		0.217353037	0.911668301	0.246534959	0.492063492			40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23	RPS23	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:28257692). The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (By similarity). Plays an important role in translational accuracy (PubMed:28257692). {ECO:0000250|UniProtKB:P0CX29, ECO:0000269|PubMed:28257692}."	143	"maintenance of translational fidelity [GO:1990145]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; stress granule assembly [GO:0034063]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Universal ribosomal protein uS12 family	SIMILARITY: Belongs to the universal ribosomal protein uS12 family. {ECO:0000305}.		Homo sapiens (Human)								RPS23;	reviewed	
RS18_HUMAN	P62269		0	7	7	0	0	0	0	0	4	5	3	4	0	0	0	1	31	31	14	11	1	0	0	0	31	21	23	27		8.84	8.83			6.85			8.32	8.55	8.31	8.47					9.85	9.93	8.68	8.55	6.51				9.26	9.34	9.21	9.05		0.221361798	0.901873483	0.108946301	0.403645833			40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	RPS18	"FUNCTION: Located at the top of the head of the 40S subunit, it contacts several helices of the 18S rRNA. {ECO:0000250}."	152	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]			Universal ribosomal protein uS13 family	SIMILARITY: Belongs to the universal ribosomal protein uS13 family. {ECO:0000305}.		Homo sapiens (Human)								RPS18;	reviewed	
